"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.286548603E1,6.499577007E1,2.546410484E1,-2.124349913E0,1.204104077E0,3.544404101E2,4.725287588E0,3.390603817E0
9.386548126E1,6.499578575E1,2.546410521E1,-2.093726415E0,1.404218932E0,3.556338900E2,4.729613259E0,3.384567247E0
9.486547625E1,6.499580457E1,2.546410368E1,-1.419183380E0,1.578290369E0,3.562486586E2,4.732904654E0,3.379963102E0
9.586547112E1,6.499581355E1,2.546409747E1,-1.956820173E0,1.226353394E0,3.511360879E2,4.725579197E0,3.390197382E0
9.686546624E1,6.499582861E1,2.546409650E1,-2.179944072E0,1.363196186E0,3.527685347E2,4.728976689E0,3.385456617E0
9.786546087E1,6.499584031E1,2.546409404E1,-2.363902581E0,1.389482352E0,3.535484383E2,4.732918559E0,3.379943631E0
9.886545622E1,6.499585235E1,2.546409181E1,-2.190060809E0,1.380995574E0,3.540303040E2,4.730525688E0,3.383291851E0
9.986545122E1,6.499586677E1,2.546408951E1,-2.152220861E0,1.481096727E0,3.537257312E2,4.730381229E0,3.383493824E0
1.008654449E2,6.499588171E1,2.546408258E1,-2.042164956E0,1.640570876E0,3.529362382E2,4.730679981E0,3.383076108E0
1.018654404E2,6.499589191E1,2.546408364E1,-2.332813302E0,1.190979061E0,3.556705401E2,4.722300795E0,3.394762471E0
1.028654361E2,6.499590381E1,2.546408516E1,-2.438866284E0,1.301410830E0,3.574947500E2,4.722299373E0,3.394764450E0
1.038654308E2,6.499591987E1,2.546408213E1,-1.930216573E0,1.514933849E0,3.563088563E2,4.725464720E0,3.390356945E0
1.048654256E2,6.499592847E1,2.546408138E1,-3.188537179E0,1.099527877E0,3.546727936E2,4.723553322E0,3.393019458E0
1.058654211E2,6.499594984E1,2.546408880E1,-2.002999336E0,1.671718678E0,1.821675866E0,4.727144496E0,3.388014455E0
1.068654157E2,6.499595705E1,2.546408992E1,-1.882404193E0,1.197202204E0,2.990444826E0,4.718525659E0,3.400007741E0
1.078654102E2,6.499596855E1,2.546408488E1,-2.136998929E0,1.163156407E0,3.574925111E2,4.725635581E0,3.390118787E0
1.088654044E2,6.499598644E1,2.546408276E1,-1.707182207E0,1.390139597E0,3.546552748E2,4.728963597E0,3.385474904E0
1.098654000E2,6.499600396E1,2.546408300E1,-1.791855232E0,1.625911055E0,3.566959662E2,4.732436934E0,3.380617946E0
1.108653954E2,6.499601101E1,2.546407393E1,-2.191543993E0,1.250880086E0,3.517367674E2,4.723485113E0,3.393114413E0
1.118653901E2,6.499602751E1,2.546407312E1,-2.235293294E0,1.584743425E0,3.555510532E2,4.731285877E0,3.382228700E0
1.128653853E2,6.499603612E1,2.546407215E1,-2.736017222E0,1.203164851E0,3.590704887E2,4.724912846E0,3.391126013E0
1.138653803E2,6.499604619E1,2.546406223E1,-3.031307580E0,1.193841839E0,3.524300323E2,4.725221894E0,3.390695369E0
1.148653743E2,6.499605916E1,2.546405841E1,-3.009890061E0,1.229899684E0,3.527622684E2,4.730729225E0,3.383007246E0
1.158653698E2,6.499607666E1,2.546405849E1,-2.843366493E0,1.507501380E0,3.565003643E2,4.732496019E0,3.380535233E0
1.168653650E2,6.499608802E1,2.546405294E1,-3.079595303E0,1.202964786E0,3.546368570E2,4.725618510E0,3.390142582E0
1.178653600E2,6.499610010E1,2.546404211E1,-2.724414876E0,1.341012648E0,3.471398694E2,4.728548369E0,3.386054837E0
1.188653550E2,6.499611322E1,2.546404304E1,-3.420816098E0,1.355404486E0,3.535595378E2,4.729182323E0,3.385169359E0
1.198653502E2,6.499612409E1,2.546403571E1,-3.815998158E0,1.325115301E0,3.518044857E2,4.731018203E0,3.382603109E0
1.208653436E2,6.499613325E1,2.546403115E1,-3.037493927E0,1.050788349E0,3.510448090E2,4.726186049E0,3.389351333E0
1.218653394E2,6.499614726E1,2.546402474E1,-3.628876699E0,1.074133775E0,3.493635958E2,4.733569861E0,3.379031430E0
1.228653340E2,6.499616769E1,2.546401636E1,-3.107767298E0,1.468854547E0,3.502547673E2,4.733880899E0,3.378595664E0
1.238653300E2,6.499617962E1,2.546400560E1,-2.877402576E0,1.282294091E0,3.459024914E2,4.730019249E0,3.383999843E0
1.248653244E2,6.499618981E1,2.546400017E1,-3.359367297E0,1.259456799E0,3.471258544E2,4.726674118E0,3.388670656E0
1.258653194E2,6.499620622E1,2.546399726E1,-3.604571298E0,1.515602180E0,3.504512197E2,4.736289363E0,3.375218527E0
1.268653141E2,6.499621494E1,2.546399674E1,-3.785051906E0,1.192311784E0,3.546101047E2,4.728438015E0,3.386208938E0
1.278653091E2,6.499622486E1,2.546399439E1,-4.278327140E0,1.179030685E0,3.568875793E2,4.731478050E0,3.381959860E0
1.288653039E2,6.499623768E1,2.546399393E1,-4.272718522E0,1.224717002E0,3.563196217E2,4.731198227E0,3.382351308E0
1.298652992E2,6.499625444E1,2.546400057E1,-3.979713148E0,1.480358517E0,2.400012568E0,4.732262218E0,3.380862514E0
1.308652939E2,6.499626573E1,2.546400439E1,-3.402308664E0,1.194213829E0,5.605653464E0,4.724764147E0,3.391333187E0
1.318652898E2,6.499627938E1,2.546400576E1,-4.266687579E0,1.430336512E0,2.906167413E0,4.726323218E0,3.389160054E0
1.328656744E2,6.499629409E1,2.546399836E1,-4.078292452E0,1.425488618E0,3.545990620E2,4.731369383E0,3.382111884E0
1.338656758E2,6.499630608E1,2.546399797E1,-3.991751956E0,1.342823809E0,3.560164489E2,4.732654310E0,3.380313626E0
1.348656723E2,6.499632107E1,2.546399690E1,-3.625595527E0,1.230913833E0,3.562667589E2,4.731542698E0,3.381869413E0
1.358656719E2,6.499633510E1,2.546399988E1,-2.840224672E0,1.130808729E0,2.867025049E-1,4.729656564E0,3.384506732E0
1.368656780E2,6.499634433E1,2.546399612E1,-2.939049912E0,1.167029582E0,3.588809171E2,4.725772505E0,3.389927914E0
1.378656794E2,6.499635631E1,2.546399495E1,-2.600153509E0,1.113010242E0,3.571009684E2,4.729779737E0,3.384334598E0
1.388656818E2,6.499636105E1,2.546399463E1,-3.137436744E0,8.286716931E-1,3.575680925E2,4.725315478E0,3.390564948E0
1.398656913E2,6.499636235E1,2.546399337E1,-2.901953281E0,3.730651090E-1,3.567590125E2,4.729583317E0,3.384609088E0
1.408656919E2,6.499636066E1,2.546399426E1,-2.700694188E0,9.734627851E-3,3.567590134E2,4.732295887E0,3.380815386E0
1.418656927E2,6.499636276E1,2.546399115E1,-2.632353664E0,2.460135624E-1,3.567590104E2,4.730067292E0,3.383932689E0
1.428656995E2,6.499637895E1,2.546398809E1,-1.910678907E0,1.293293100E0,3.560037138E2,4.730735610E0,3.382998318E0
1.438656996E2,6.499640149E1,2.546399287E1,-2.933083916E0,1.907701920E0,2.094065397E0,4.730525058E0,3.383292731E0
1.448657033E2,6.499640649E1,2.546398360E1,-3.375862508E0,1.219724821E0,3.536931305E2,4.723854453E0,3.392600203E0
1.458657101E2,6.499642293E1,2.546397782E1,-2.970283058E0,1.552401944E0,3.524025805E2,4.729355884E0,3.384926876E0
1.468657113E2,6.499643714E1,2.546397614E1,-2.848422330E0,1.588749598E0,3.543507671E2,4.733306973E0,3.379399670E0
1.478657117E2,6.499645540E1,2.546397573E1,-2.602884169E0,1.772285857E0,3.563296071E2,4.732672954E0,3.380287524E0
1.488657104E2,6.499646902E1,2.546396963E1,-2.717278417E0,1.677073337E0,3.542126289E2,4.735071794E0,3.376926433E0
1.498657099E2,6.499647969E1,2.546397075E1,-2.955611754E0,1.375702142E0,3.560519055E2,4.735797253E0,3.375908976E0
1.508657089E2,6.499649694E1,2.546396774E1,-2.941382758E0,1.564136987E0,3.559372643E2,4.737119966E0,3.374052675E0
1.518657073E2,6.499651111E1,2.546396186E1,-3.199546114E0,1.567534852E0,3.525620172E2,4.739941266E0,3.370088103E0
1.528657064E2,6.499652790E1,2.546396318E1,-3.327238654E0,1.708032285E0,3.554894706E2,4.738240406E0,3.372479042E0
1.538657035E2,6.499653768E1,2.546396177E1,-3.378133342E0,1.226979703E0,3.579054408E2,4.730481637E0,3.383353443E0
1.548657016E2,6.499655355E1,2.546395571E1,-3.480837296E0,1.550446258E0,3.550499580E2,4.729066608E0,3.385331011E0
1.558657001E2,6.499656592E1,2.546395248E1,-3.249800893E0,1.221288257E0,3.547333101E2,4.724387511E0,3.391857851E0
1.568656979E2,6.499658379E1,2.546394616E1,-3.088086900E0,1.620341918E0,3.533213814E2,4.729618778E0,3.384559536E0
1.578656957E2,6.499659965E1,2.546393975E1,-2.938989626E0,1.598254948E0,3.515622169E2,4.723523217E0,3.393061368E0
1.588656924E2,6.499661345E1,2.546392507E1,-3.091911946E0,1.612210878E0,3.438354594E2,4.722614602E0,3.394325906E0
1.598656913E2,6.499662804E1,2.546392389E1,-3.099430787E0,1.617994168E0,3.483073242E2,4.721023940E0,3.396537942E0
1.608656874E2,6.499664216E1,2.546392363E1,-2.681207801E0,1.579440237E0,3.520458381E2,4.718603700E0,3.399899433E0
1.618656849E2,6.499665756E1,2.546392425E1,-2.705780986E0,1.635853163E0,3.567360212E2,4.717781747E0,3.401039902E0
1.628656819E2,6.499667075E1,2.546392285E1,-2.467529020E0,1.628612377E0,3.560462906E2,4.718857267E0,3.399547488E0
1.638656794E2,6.499668721E1,2.546393828E1,-2.974410607E0,1.653154154E0,7.422958195E0,4.721897419E0,3.395323519E0
1.648656759E2,6.499670264E1,2.546393492E1,-2.808064636E0,1.653392408E0,3.188869539E0,4.722962923E0,3.393841225E0
1.658656728E2,6.499671700E1,2.546393225E1,-2.440826519E0,1.653967595E0,1.070608827E0,4.723102523E0,3.393646946E0
1.668656698E2,6.499673156E1,2.546392643E1,-2.631793663E0,1.651010568E0,3.573032254E2,4.722466161E0,3.394532425E0
1.678656665E2,6.499674573E1,2.546392230E1,-2.655678781E0,1.645989318E0,3.560061973E2,4.722920336E0,3.393900490E0
1.688656626E2,6.499676032E1,2.546391349E1,-2.154707667E0,1.627632058E0,3.520839862E2,4.721490480E0,3.395889379E0
1.698656595E2,6.499677349E1,2.546390906E1,-1.773656551E0,1.622913569E0,3.531835521E2,4.718160891E0,3.400513908E0
1.708656569E2,6.499678839E1,2.546390899E1,-2.292503946E0,1.649437723E0,3.543470383E2,4.716056083E0,3.403432392E0
1.718656522E2,6.499680320E1,2.546391020E1,-2.642935484E0,1.608223258E0,3.567383480E2,4.711645636E0,3.409535516E0
1.728656485E2,6.499681862E1,2.546390598E1,-2.429218595E0,1.629944875E0,3.553216200E2,4.711109087E0,3.410276851E0
1.738656448E2,6.499683398E1,2.546390619E1,-2.574614470E0,1.639589769E0,3.567427695E2,4.712478644E0,3.408384084E0
1.748656417E2,6.499684952E1,2.546390307E1,-2.637029950E0,1.638416036E0,3.565236314E2,4.712275940E0,3.408664328E0
1.758656374E2,6.499686493E1,2.546390015E1,-2.686353872E0,1.637379738E0,3.545112428E2,4.712021400E0,3.409016186E0
1.768656335E2,6.499688053E1,2.546389752E1,-2.361406256E0,1.634186021E0,3.556361154E2,4.710075302E0,3.411704512E0
1.778656300E2,6.499689576E1,2.546389605E1,-2.896596983E0,1.635008752E0,3.570068674E2,4.710781769E0,3.410728977E0
1.788656254E2,6.499691195E1,2.546389504E1,-2.670262177E0,1.654894427E0,3.574570902E2,4.709445956E0,3.412573196E0
1.798656220E2,6.499692778E1,2.546388682E1,-3.288795616E0,1.657925089E0,3.546396242E2,4.711935540E0,3.409134861E0
1.808656176E2,6.499694276E1,2.546388576E1,-2.622350250E0,1.637181500E0,3.553666220E2,4.711195958E0,3.410156840E0
1.818656144E2,6.499695912E1,2.546388695E1,-2.620905360E0,1.664460023E0,3.588516224E2,4.710492185E0,3.411128905E0
1.828656102E2,6.499697487E1,2.546388382E1,-2.498265328E0,1.653185464E0,3.556424523E2,4.709779329E0,3.412113085E0
1.838656055E2,6.499699012E1,2.546387738E1,-2.454763591E0,1.668826008E0,3.536198671E2,4.710442082E0,3.411198093E0
1.848656015E2,6.499700586E1,2.546387867E1,-2.989815906E0,1.670266182E0,3.561948315E2,4.710373799E0,3.411292380E0
1.858655975E2,6.499702251E1,2.546387945E1,-2.916124045E0,1.687196407E0,3.580524428E2,4.713160528E0,3.407441102E0
1.868655931E2,6.499703911E1,2.546387482E1,-3.402243155E0,1.676219472E0,3.545571946E2,4.713166338E0,3.407433067E0
1.878655896E2,6.499705553E1,2.546387842E1,-3.128926637E0,1.693288095E0,3.587446797E2,4.715291404E0,3.404491740E0
1.888655846E2,6.499707210E1,2.546388344E1,-3.007881648E0,1.688792453E0,3.387599306E0,4.713734740E0,3.406646714E0
1.898655812E2,6.499708680E1,2.546388160E1,-3.551302473E0,1.693194870E0,2.822668451E0,4.706018982E0,3.417297525E0
1.908655766E2,6.499710239E1,2.546388380E1,-2.914173055E0,1.696596371E0,4.287200099E0,4.702186137E0,3.422569586E0
1.918655723E2,6.499711873E1,2.546387973E1,-3.455363270E0,1.692261802E0,3.592529420E2,4.703678152E0,3.420518802E0
1.928655688E2,6.499713534E1,2.546387814E1,-3.801811882E0,1.692723667E0,9.001685057E-2,4.703541419E0,3.420706821E0
1.938655642E2,6.499715246E1,2.546387688E1,-3.299451079E0,1.695252953E0,3.594040283E2,4.704107156E0,3.419928786E0
1.948655610E2,6.499716852E1,2.546388059E1,-3.519601549E0,1.702274043E0,2.490653437E0,4.705852699E0,3.417526505E0
1.958655553E2,6.499718563E1,2.546389185E1,-3.586512353E0,1.710839998E0,8.620127156E0,4.707746618E0,3.414917102E0
1.968655514E2,6.499720460E1,2.546389386E1,-3.453658368E0,1.735587038E0,8.226952538E0,4.707897624E0,3.414708918E0
1.978655472E2,6.499722188E1,2.546389533E1,-3.745252256E0,1.727039134E0,6.558957180E0,4.707804697E0,3.414837034E0
1.988655431E2,6.499723838E1,2.546389133E1,-4.357902098E0,1.715733311E0,2.745947511E0,4.709249752E0,3.412843947E0
1.998655391E2,6.499725437E1,2.546389075E1,-3.938007672E0,1.722649331E0,2.249182841E0,4.710774106E0,3.410739561E0
2.008655347E2,6.499727183E1,2.546389483E1,-3.142667320E0,1.734628092E0,5.408946513E0,4.706542560E0,3.416576380E0
2.018655301E2,6.499728741E1,2.546390478E1,-3.226629062E0,1.738226182E0,1.015778901E1,4.706364939E0,3.416821051E0
2.028655260E2,6.499730452E1,2.546389647E1,-3.123112745E0,1.744427833E0,3.599481059E2,4.708018869E0,3.414541750E0
2.038655213E2,6.499732063E1,2.546389966E1,-3.504949292E0,1.725210430E0,2.247463868E0,4.707166313E0,3.415716958E0
2.048655170E2,6.499733803E1,2.546389489E1,-3.355870191E0,1.726417854E0,3.100845900E-1,4.706705490E0,3.416351924E0
2.058655133E2,6.499735460E1,2.546389901E1,-3.642261412E0,1.726653100E0,3.283144698E0,4.708147390E0,3.414364536E0
2.068655081E2,6.499736982E1,2.546389754E1,-3.944852616E0,1.710135559E0,3.594130793E2,4.703456404E0,3.420823715E0
2.078655038E2,6.499738715E1,2.546389475E1,-3.416203325E0,1.727992715E0,3.573968424E2,4.699337799E0,3.426479430E0
