"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.402768167E0,2.896624095E0,-1.418829802E-1,-1.706741438E0
2.412767167E0,2.531442966E0,-4.822824401E-1,-1.907775144E0
2.422766167E0,1.868632567E0,-1.020701951E0,-1.493960091E0
2.432765167E0,1.049705018E0,-1.509677991E0,-6.343930775E-1
2.442764167E0,1.399585519E-1,-1.949769847E0,2.084251714E-1
2.452763167E0,-6.359837394E-1,-2.146453809E0,6.346947938E-1
2.462762167E0,-1.075476986E0,-2.105483539E0,5.944343752E-1
2.472761167E0,-1.258176821E0,-1.871863007E0,-2.160019934E-2
2.482760167E0,-1.229489211E0,-1.481112589E0,-7.531342399E-1
2.492759167E0,-1.095796280E0,-1.059646746E0,-1.505258666E0
2.502758167E0,-7.980027761E-1,-6.870460850E-1,-2.012579468E0
2.512757167E0,-4.534872419E-1,-4.318849960E-1,-2.090755572E0
2.522756167E0,-2.764097610E-1,-3.497243071E-1,-1.978041719E0
2.532755167E0,-2.444204482E-1,-3.646899632E-1,-1.778268088E0
2.542754167E0,-3.544680800E-1,-4.290195680E-1,-1.410094646E0
2.552753167E0,-5.389513884E-1,-5.287414920E-1,-1.187106400E0
2.562752167E0,-6.365117430E-1,-6.017463183E-1,-1.324354584E0
2.572751167E0,-6.588968579E-1,-4.768664566E-1,-1.651948934E0
2.582750167E0,-6.043590736E-1,-1.870954058E-1,-2.166479353E0
2.592749167E0,-3.202275161E-1,2.135344684E-1,-2.873874334E0
2.602748167E0,-7.480233349E-2,5.421354166E-1,-3.370517535E0
2.612747167E0,-1.531744652E-1,6.557573417E-1,-3.218088225E0
2.622746167E0,-4.429624730E-1,6.202448621E-1,-2.520493762E0
2.632745167E0,-9.007754850E-1,3.696346611E-1,-1.590377169E0
2.642744167E0,-1.239850624E0,1.446741486E-1,-4.628199828E-1
2.652743167E0,-1.218582619E0,5.230772942E-2,-2.362807220E-1
2.662742167E0,-1.138000825E0,-2.476380613E-1,-5.039060283E-1
2.672741167E0,-8.914386510E-1,-1.581335619E-1,-2.382424629E-1
2.682740167E0,-1.817327050E-1,1.327507988E-1,3.764712256E-1
2.692739167E0,5.365353189E-1,3.194012314E-1,9.244681835E-1
2.702738167E0,1.108158829E0,5.010604808E-1,1.084576058E0
2.712737167E0,1.317087811E0,8.122013506E-1,8.256455612E-1
2.722736167E0,9.437409718E-1,1.126999362E0,2.675492924E-1
2.732735167E0,4.846374062E-1,1.278679059E0,-3.930615306E-1
2.742734167E0,6.510874629E-2,1.315347826E0,-9.039643371E-1
2.752733167E0,-4.490119292E-1,1.392986863E0,-1.166145301E0
2.762732167E0,-6.779818775E-1,1.577249877E0,-1.176905932E0
2.772731167E0,-4.857302508E-1,1.732288800E0,-9.120212156E-1
2.782730167E0,-1.629559799E-1,1.855967936E0,-3.013461989E-1
2.792729167E0,1.840332189E-1,1.768064112E0,5.263874030E-1
2.802728167E0,4.897263110E-1,1.562044778E0,1.355043696E0
2.812727167E0,4.296498978E-1,1.505934604E0,1.956190090E0
2.822726167E0,-6.368655726E-2,1.701364923E0,2.312157469E0
2.832725167E0,-5.835819429E-1,2.009960500E0,2.303469676E0
2.842724167E0,-8.534268522E-1,2.151909846E0,2.000800837E0
2.852723167E0,-9.603480144E-1,2.247627889E0,1.731368156E0
2.862722167E0,-1.135080214E0,2.523343403E0,1.589553296E0
2.872721167E0,-1.229383084E0,2.746178160E0,1.323436571E0
2.882720167E0,-1.150601063E0,2.891060470E0,9.802459431E-1
2.892719167E0,-5.026450762E-1,2.737271097E0,9.453485906E-1
2.902718167E0,7.064590602E-1,2.173109803E0,1.362073803E0
2.912717167E0,1.550202119E0,1.523959523E0,2.406330385E0
2.922716167E0,1.495540886E0,8.222889671E-1,3.841080401E0
2.932715167E0,9.249349375E-1,3.382643491E-2,4.747240952E0
2.942714167E0,2.401235121E-1,-8.445250511E-1,4.495715370E0
2.952713167E0,-6.733577532E-1,-1.311895045E0,3.596394306E0
2.962712167E0,-1.533938235E0,-1.363203777E0,2.419797108E0
2.972711167E0,-2.050120639E0,-1.270922143E0,1.228774243E0
2.982710167E0,-2.051449711E0,-1.304524045E0,-1.493484128E-1
2.992709167E0,-1.727313112E0,-1.166440001E0,-1.171204897E0
3.002708167E0,-1.162263481E0,-8.450793672E-1,-1.385020616E0
3.012707167E0,-5.758776516E-1,-7.128890240E-1,-1.100206835E0
3.022706167E0,-1.218669377E-1,-8.700741675E-1,-6.935364944E-1
3.032706167E0,2.318891707E-1,-1.106339102E0,-2.486651248E-1
3.042705167E0,4.824751058E-1,-1.381176072E0,1.111970848E-1
3.052704167E0,5.743425382E-1,-1.672640476E0,5.696573836E-1
3.062703167E0,7.394375758E-1,-1.818246671E0,9.473003912E-1
3.072702167E0,8.663442287E-1,-1.846249864E0,9.765703833E-1
3.082701167E0,8.115906820E-1,-1.790972041E0,6.490286583E-1
3.092700167E0,6.078895493E-1,-1.644636699E0,-7.538230419E-3
3.102699167E0,6.014945957E-1,-1.472912453E0,-9.500181770E-1
3.112698167E0,6.760877451E-1,-1.339067348E0,-1.872045148E0
3.122697167E0,5.305789065E-1,-1.235899368E0,-2.459601443E0
3.132696167E0,9.027940169E-2,-1.123730476E0,-2.767559089E0
3.142695167E0,-4.387420989E-1,-1.229362181E0,-2.714486836E0
3.152694167E0,-6.039926724E-1,-1.454511850E0,-2.389355918E0
3.162693167E0,-6.175452027E-1,-1.536497708E0,-1.989492322E0
3.172692167E0,-6.751694398E-1,-1.370842580E0,-1.846284070E0
3.182691167E0,-5.431314898E-1,-1.112095686E0,-1.963745862E0
3.192690167E0,-1.778071768E-1,-7.847068655E-1,-2.112009031E0
3.202689167E0,1.182322354E-1,-4.892625538E-1,-2.184900422E0
3.212688167E0,3.232993508E-1,-2.811712584E-1,-2.234757290E0
3.222687167E0,3.504056539E-1,-1.741581488E-1,-2.183251507E0
3.232686167E0,2.236797530E-1,-1.188256547E-1,-1.960149239E0
3.242685167E0,5.794714965E-2,-8.503079474E-2,-1.742717017E0
3.252684167E0,-6.198735639E-2,-1.288141608E-2,-1.542307793E0
3.262683167E0,-1.287935494E-1,-1.622193038E-2,-1.260825171E0
3.272682167E0,-2.584983873E-1,-9.375220925E-2,-1.069607186E0
3.282681167E0,-4.960691513E-1,-1.409219903E-1,-1.078439405E0
3.292680167E0,-6.626793487E-1,-7.680697829E-2,-1.204444563E0
3.302679167E0,-7.735251620E-1,2.214194387E-2,-1.318892700E0
3.312678042E0,-7.191915185E-1,2.421454793E-1,-1.310275074E0
3.322677042E0,-4.769491216E-1,5.213620135E-1,-1.051511807E0
